iter	Logloss
0	0.6929676283
1	0.6928271251
2	0.692639196
3	0.692536925
4	0.6924189189
5	0.6922332415
6	0.6920968483
7	0.6919300684
8	0.6917831191
9	0.691692194
10	0.6915347692
11	0.6913533708
12	0.691204247
13	0.6910266832
14	0.6908605791
15	0.69072149
16	0.6905838958
17	0.6904320834
18	0.6902768697
19	0.6901195515
20	0.6899387444
21	0.6897432931
22	0.6896350939
23	0.6895248488
24	0.6894106736
25	0.6892981035
26	0.6891548823
27	0.6889595999
28	0.6887854998
29	0.6886102022
30	0.6884625145
31	0.6883082229
32	0.6881400583
33	0.6879818328
34	0.6878430485
35	0.6877084661
36	0.6876190139
37	0.6874385264
38	0.6873222539
39	0.6871744598
40	0.6870095164
41	0.6869079873
42	0.6867582906
43	0.6866741348
44	0.6864778644
45	0.6863293944
46	0.6861514009
47	0.6860204217
48	0.6858804694
49	0.685752616
50	0.6856315796
51	0.6855075645
52	0.685340656
53	0.6852344366
54	0.6850336778
55	0.6848788792
56	0.684770085
57	0.684574865
58	0.6844537222
59	0.6843324765
60	0.6842162113
61	0.6841242247
62	0.6840057999
63	0.6838913235
64	0.6837242241
65	0.6836072464
66	0.6834875397
67	0.6833892245
68	0.68327311
69	0.6831774541
70	0.6830696625
71	0.682973632
72	0.6828550418
73	0.6827707465
74	0.682681544
75	0.6825875263
76	0.6824644073
77	0.6823693024
78	0.6822673913
79	0.6821235567
80	0.6819599723
81	0.6817988745
82	0.6817298442
83	0.6816244401
84	0.6815065956
85	0.6814180286
86	0.6813179136
87	0.6811711222
88	0.6810274455
89	0.6809118268
90	0.6808040683
91	0.6806910685
92	0.6805901933
93	0.6804678971
94	0.6803310081
95	0.6802518733
96	0.6801677469
97	0.6800089889
98	0.6798639091
99	0.6797325589
100	0.6796124849
101	0.6795442773
102	0.6794234099
103	0.6792654158
104	0.6791017764
105	0.6789470953
106	0.6787678273
107	0.6786507835
108	0.6786443043
109	0.6785214645
110	0.6784346715
111	0.6782641268
112	0.6781043881
113	0.6779669371
114	0.6778485306
115	0.677777594
116	0.677660664
117	0.6775158817
118	0.6774310612
119	0.6773338479
120	0.6772296559
121	0.6771150987
122	0.6769708417
123	0.6768356386
124	0.6767086189
125	0.6764659769
126	0.6763475337
127	0.6762391178
128	0.6761084251
129	0.6760092247
130	0.6758943149
131	0.6757788799
132	0.6756589712
133	0.6755013591
134	0.6754390356
135	0.6753058196
136	0.6751439873
137	0.6750364749
138	0.6748858525
139	0.6747818075
140	0.674676914
141	0.6745589997
142	0.6744741571
143	0.6743641911
144	0.6742550516
145	0.6740517805
146	0.6739360296
147	0.6737992544
148	0.6736359639
149	0.6735197612
150	0.6734724309
151	0.6733475233
152	0.673195226
153	0.6731133438
154	0.6729846309
155	0.6728787971
156	0.6727562475
157	0.6726417013
158	0.672565505
159	0.6724741758
160	0.6723293384
161	0.6722092864
162	0.6720977999
163	0.6719815311
164	0.6718585554
165	0.6717450707
166	0.6716011994
167	0.6714312423
168	0.6712929612
169	0.6711436501
170	0.6709985667
171	0.6708683992
172	0.6707376111
173	0.6706204938
174	0.6704976724
175	0.6704028135
176	0.6702541599
177	0.6701058001
178	0.6700068274
179	0.6698862502
180	0.6697693754
181	0.6696549247
182	0.6695519008
183	0.6694113351
184	0.669286409
185	0.6691451381
186	0.6689565516
187	0.6688711507
188	0.6687515579
189	0.6686565521
190	0.6685650136
191	0.6684173957
192	0.6683086015
193	0.6681815194
194	0.6680758178
195	0.6679981779
196	0.6678935011
197	0.6677761414
198	0.6675885614
199	0.6674835907
200	0.6673000766
201	0.6671792607
202	0.6670067215
203	0.6668867614
204	0.6667703236
205	0.6666266175
206	0.6665072671
207	0.6663951671
208	0.6663010318
209	0.666179731
210	0.6660424747
211	0.6659221619
212	0.6657541773
213	0.6656143903
214	0.6655085455
215	0.6653579231
216	0.6652390832
217	0.6650701546
218	0.6649289866
219	0.6648116967
220	0.6647275776
221	0.6645697305
222	0.6644818723
223	0.6643745179
224	0.6642459372
225	0.6641069326
226	0.6640026524
227	0.6639116135
228	0.663760712
229	0.6637019917
230	0.6635401924
231	0.6634162728
232	0.663287064
233	0.6631286255
234	0.6629605233
235	0.6628333751
236	0.6626812101
237	0.6625286227
238	0.6624140214
239	0.6622617021
240	0.6621293015
241	0.662040459
242	0.6618567062
243	0.6617099074
244	0.6615883201
245	0.6614751403
246	0.6613436874
247	0.6611917243
248	0.6610355741
249	0.660944043
250	0.6608214346
251	0.6606853426
252	0.6605188162
253	0.6603281875
254	0.6601611615
255	0.6600077293
256	0.6599121799
257	0.659769774
258	0.6596147478
259	0.6594423702
260	0.6592835571
261	0.659100594
262	0.658940565
263	0.658760151
264	0.6586358567
265	0.6584507742
266	0.6582455417
267	0.6580450988
268	0.6579183693
269	0.6576914587
270	0.6575219388
271	0.6573204932
272	0.6571204579
273	0.656957531
274	0.6567716846
275	0.6566430745
276	0.6564413497
277	0.6562579238
278	0.6560903285
279	0.655912963
280	0.655737603
281	0.655578878
282	0.6554402554
283	0.6552852879
284	0.655133784
285	0.6549617297
286	0.6547315538
287	0.65455226
288	0.654407452
289	0.6542428245
290	0.6540668254
291	0.653882933
292	0.6537512743
293	0.6535982829
294	0.6534475283
295	0.6532814977
296	0.6530559645
297	0.652885328
298	0.6526982144
299	0.652544492
300	0.6523735102
301	0.6522131911
302	0.6520752259
303	0.6518942609
304	0.6517132886
305	0.6515641685
306	0.6513515092
307	0.651177791
308	0.6509911806
309	0.6508162356
310	0.6506346095
311	0.6504319333
312	0.6502593318
313	0.6501065387
314	0.6499208245
315	0.6497450898
316	0.6495886127
317	0.6494147696
318	0.649281223
319	0.6491091393
320	0.6489114144
321	0.6487753518
322	0.6486469915
323	0.6484946025
324	0.6483351722
325	0.6481369148
326	0.6480053957
327	0.6478355819
328	0.6476269078
329	0.647463272
330	0.6473380374
331	0.6471437541
332	0.646881366
333	0.6467456413
334	0.6465708102
335	0.6463839391
336	0.6461492234
337	0.6460247601
338	0.6458996871
339	0.6457071779
340	0.6455632588
341	0.6454303807
342	0.6452933447
343	0.6451539507
344	0.6449875712
345	0.6448273403
346	0.644618993
347	0.6443884903
348	0.6442568684
349	0.6440315041
350	0.6438455218
351	0.6437063996
352	0.6435425104
353	0.6433495457
354	0.6431806906
355	0.6430169409
356	0.642851105
357	0.6426610273
358	0.6425437851
359	0.6423373074
360	0.6421671741
361	0.6419520172
362	0.6418066692
363	0.6416320916
364	0.6415075989
365	0.6413339762
366	0.6411738959
367	0.6409907932
368	0.6408483065
369	0.6406876312
370	0.6405056965
371	0.6403087025
372	0.6401208213
373	0.6399583535
374	0.6397379735
375	0.6395700366
376	0.639398188
377	0.6391936166
378	0.6390372828
379	0.638883509
380	0.638690199
381	0.638565317
382	0.6384536872
383	0.6382816476
384	0.6381307424
385	0.6379694169
386	0.6377992285
387	0.6376219255
388	0.6374437556
389	0.6372677271
390	0.6371170938
391	0.6369436804
392	0.6367641993
393	0.6366651238
394	0.636497411
395	0.6363322215
396	0.6362006584
397	0.6360283323
398	0.6358312391
399	0.6356217129
400	0.635449519
401	0.6352911907
402	0.6351115847
403	0.6349548394
404	0.6347950933
405	0.6346346457
406	0.634486914
407	0.6343058865
408	0.6341703382
409	0.6339835257
410	0.633741218
411	0.6335353941
412	0.6333401081
413	0.6331778533
414	0.633019536
415	0.6328670918
416	0.6326876989
417	0.6325163682
418	0.6323385619
419	0.6321881453
420	0.6320209466
421	0.6318337926
422	0.6316876219
423	0.6315315746
424	0.6313336109
425	0.6311874513
426	0.6310371742
427	0.6308635001
428	0.6307164919
429	0.6305205998
430	0.6303485859
431	0.6302085528
432	0.6300742937
433	0.629922496
434	0.6297612843
435	0.6296347165
436	0.6294870398
437	0.6293270256
438	0.629154042
439	0.6290066629
440	0.6288830775
441	0.6287685461
442	0.6286030481
443	0.6284441064
444	0.6282749207
445	0.6280894562
446	0.6279150659
447	0.6277584896
448	0.6276354992
449	0.627486346
450	0.6273411818
451	0.6271999806
452	0.6269376697
453	0.626795925
454	0.6266593041
455	0.6265024817
456	0.6263379681
457	0.6261870078
458	0.6260193501
459	0.6258975534
460	0.6257714043
461	0.6256561896
462	0.6255195834
463	0.6253817762
464	0.6252324357
465	0.6250914255
466	0.6249155293
467	0.6247820304
468	0.6245500181
469	0.6244046151
470	0.6242215197
471	0.6240743977
472	0.6239356979
473	0.6238011192
474	0.6236678187
475	0.6235038009
476	0.6233589489
477	0.6232020714
478	0.623056841
479	0.6229133185
480	0.6227488159
481	0.6225683247
482	0.6224258895
483	0.6223015327
484	0.6221668769
485	0.6220118396
486	0.6218864654
487	0.6217132137
488	0.6215257879
489	0.6213334293
490	0.6211842871
491	0.6210476589
492	0.6208654304
493	0.6207135922
494	0.6205859518
495	0.6204292911
496	0.6202756201
497	0.6200863578
498	0.6199084193
499	0.6198035662
500	0.6196495574
501	0.6195123635
502	0.6193587917
503	0.6192127422
504	0.619038014
505	0.6189321214
506	0.6187629467
507	0.6186340024
508	0.6184857124
509	0.6183081706
510	0.6181523914
511	0.6180082482
512	0.6178407484
513	0.617700943
514	0.6175491453
515	0.6173752545
516	0.6171947633
517	0.6170691834
518	0.6168931035
519	0.6167442148
520	0.616575536
521	0.6163941339
522	0.6162977948
523	0.6161488657
524	0.616002706
525	0.6158775522
526	0.6157249869
527	0.6155775159
528	0.6154149196
529	0.6152355083
530	0.6150851945
531	0.6149417308
532	0.6147294424
533	0.6145827538
534	0.614426633
535	0.6142603967
536	0.6141184684
537	0.6140042968
538	0.6138667063
539	0.6137647438
540	0.6136335553
541	0.6135228144
542	0.6133769816
543	0.6132227119
544	0.6130880377
545	0.6129469358
546	0.6127735739
547	0.6126065994
548	0.6124381115
549	0.6122718789
550	0.6121311994
551	0.6119947438
552	0.6118047248
553	0.6116725115
554	0.6114874879
555	0.6113459598
556	0.6112220622
557	0.6111136243
558	0.6109471933
559	0.6107787128
560	0.6106290858
561	0.610459981
562	0.6102901819
563	0.610113966
564	0.6099554798
565	0.609749509
566	0.609576643
567	0.6094620821
568	0.6093417987
569	0.6091744936
570	0.6090661438
571	0.6089565305
572	0.6087986135
573	0.6086521931
574	0.6084514049
575	0.6083214138
576	0.6081858397
577	0.6079733971
578	0.6078358506
579	0.6077239747
580	0.607616275
581	0.6074947355
582	0.6073152654
583	0.6071647679
584	0.607012702
585	0.6068837908
586	0.6066943375
587	0.6065520638
588	0.6064219185
589	0.6062068864
590	0.606082728
591	0.6059211931
592	0.605765851
593	0.6056418285
594	0.6054795737
595	0.6053038685
596	0.6051241412
597	0.6049738862
598	0.6048798978
599	0.6046757121
600	0.6045529751
601	0.6043572998
602	0.604227731
603	0.6040536052
604	0.6039203855
605	0.6038028054
606	0.6036594666
607	0.6035332991
608	0.6034073409
609	0.60328038
610	0.6031397739
611	0.6029722558
612	0.6028142323
613	0.6026488372
614	0.6025305776
615	0.6023972147
616	0.6022642704
617	0.6021271023
618	0.6019528442
619	0.6018221515
620	0.6017228189
621	0.6015937056
622	0.601469044
623	0.6013279127
624	0.6011352529
625	0.6009820374
626	0.6008580553
627	0.6007053393
628	0.6005855775
629	0.600415951
630	0.6003106939
631	0.6001238925
632	0.5999649802
633	0.5998748374
634	0.5997322809
635	0.5995844391
636	0.5994385438
637	0.599324589
638	0.5991871858
639	0.59908288
640	0.5989340206
641	0.5987572355
642	0.5986261168
643	0.598493066
644	0.598354605
645	0.5981916817
646	0.5980287328
647	0.5979348252
648	0.5978146851
649	0.5976867031
650	0.5975468243
651	0.5974290752
652	0.5972981549
653	0.5971371012
654	0.5969817149
655	0.5968498028
656	0.5967257179
657	0.596610742
658	0.5964490529
659	0.5963099086
660	0.5961360693
661	0.5960095308
662	0.595881119
663	0.595728561
664	0.5955605984
665	0.5954228683
666	0.5952953307
667	0.595124999
668	0.5949784096
669	0.5948298442
670	0.5946629578
671	0.5945415321
672	0.5944286534
673	0.5942927378
674	0.5941592463
675	0.5940247925
676	0.5938954625
677	0.5937663786
678	0.5936411477
679	0.5935452934
680	0.5934105274
681	0.5932705053
682	0.5931408374
683	0.5930362671
684	0.5929308263
685	0.5928009968
686	0.5926414087
687	0.5925079576
688	0.59239509
689	0.5922747001
690	0.5921683484
691	0.5920547205
692	0.5919131153
693	0.5917707388
694	0.591644417
695	0.5915115132
696	0.591402124
697	0.5912518946
698	0.591112721
699	0.590984526
700	0.5908360964
701	0.5907193134
702	0.5905992687
703	0.590465072
704	0.5902909608
705	0.5901412824
706	0.5900258988
707	0.5898959995
708	0.5897802927
709	0.5896232095
710	0.5894507696
711	0.5893505701
712	0.5892168215
